序号,固定名字,稀有度,描述,基础价格
337,无相之风核心,稀有,无相之风的核心部分，蕴含纯净风元素力量。,33.75
338,无相之岩核心,稀有,无相之岩的核心部分，蕴含纯净岩元素力量。,36.25
339,无相之火核心,稀有,无相之火的核心部分，蕴含纯净火元素力量。,34.95
340,无相之冰核心,稀有,无相之冰的核心部分，蕴含纯净冰元素力量。,33.45
341,无相之水核心,稀有,无相之水的核心部分，蕴含纯净水元素力量。,32.85
342,无相之草核心,稀有,无相之草的核心部分，蕴含纯净草元素力量。,31.75
343,急冻树之心,稀有,急冻树的核心，散发着极寒能量。,28.95
344,爆炎树之心,稀有,爆炎树的核心，温度高到能够融化金属。,29.45
345,纯水精灵眷属,稀有,纯水精灵召唤的水元素眷属，形态多样攻击方式丰富。,27.85
346,雷音权现碎片,稀有,雷音权现破碎后的碎片，仍带有强烈雷元素。,31.25
347,魔偶剑鬼残心,稀有,魔偶剑鬼残留的战斗意识，剑术依然精湛。,38.95
348,恒常机关之心,稀有,恒常机关阵列的核心部件，结构极其复杂精密。,37.45
349,若陀龙王之鳞,稀有,若陀龙王身上较为完整的鳞片，岩元素力量浓厚。,42.75
350,特瓦林之羽,稀有,风魔龙特瓦林的完整羽毛，蕴含强大的风之祝福。,39.95
351,狼王魂晶,稀有,北风狼王安德留斯的灵魂结晶，蕴含冰与风的力量。,41.25
352,公子鲸魂,稀有,公子召唤的巨鲸残留的灵魂碎片，水元素充沛。,36.85
353,女士蛾魂,稀有,执行官女士的冰火飞蛾残留的灵魂碎片。,35.75
354,雷电将军人偶核心,稀有,雷电将军人偶的核心部件，蕴含微弱雷电将军意志。,45.25
355,散兵人偶碎片,稀有,执行官散兵的人偶身体碎片，带有不稳定的雷元素。,43.95
356,博士实验体残骸,稀有,博士失败实验体的残骸，结构异常危险。,41.85
357,富人金库钥匙,稀有,执行官富人金库的钥匙，可能通向巨大财富。,39.45
358,仆人情报网节点,稀有,仆人情报网络的重要节点，掌握大量机密信息。,37.25
359,木偶操纵线,稀有,执行官木偶操纵人偶的特殊丝线，坚韧且传导魔力。,38.15
360,队长战术地图,稀有,执行官队长的战术地图，记载着重要战略部署。,36.45
361,丑角面具,稀有,执行官丑角佩戴的面具，具有迷惑心智的效果。,35.35
362,孔雀王之羽,稀有,传说中孔雀王掉落的羽毛，美丽且蕴含强大魔力。,32.95
363,赤团扇本体,稀有,红色团扇法师使用的法宝本体，能够操控火焰法则。,31.85
364,玄文石板,稀有,刻满古代玄文的石板，解读后可能获得强大力量。,33.75
365,鸣雷之鼓,稀有,能够召唤雷电的战鼓，敲击时可引发天雷轰击。,34.25
366,霜寒宝珠,稀有,蕴含极寒能量的宝珠，能够冻结周围一切。,32.45
367,焚焰之种,稀有,火焰的种子，种植后可以生长出火焰植物。,31.35
368,涌流之瓶,稀有,能够源源不断产生清水的魔法瓶子。,30.95
369,狂岚号角,稀有,召唤狂风的号角，吹响时可制造毁灭性风暴。,33.15
370,坚岩之核,稀有,大地的核心碎片，能够操纵岩石和土壤。,34.85
371,滋长之源,稀有,生命的源泉碎片，能够促进植物快速生长。,31.95
372,海祇之鳍,稀有,海祇岛守护神的鳍片，蕴含海洋的祝福。,29.75
373,鸣神之叶,稀有,鸣神大社神樱树的叶子，蕴含雷元素祝福。,28.45
374,璃月古玉,稀有,璃月地区的古代玉器，具有历史和文化价值。,27.85
375,蒙德徽章,稀有,蒙德骑士团的荣誉徽章，代表勇气和自由精神。,26.95
376,须弥智慧卷轴,稀有,须弥教令院保存的古老智慧卷轴，记载深奥知识。,28.75
377,至冬国冰晶,稀有,至冬国特有的永不融化的冰晶，美丽而寒冷。,27.35
378,纳塔火种,稀有,纳塔部落传承的永恒火种，温度极高。,29.25
379,枫丹机械核心,稀有,枫丹科技制造的精密机械核心，结构复杂功能强大。,30.95
380,坎瑞亚遗物,稀有,覆灭的古国坎瑞亚留下的遗物，充满谜团。,31.45
381,天空之卷残页,稀有,传说中天空之卷的残破书页，记载着天空岛的秘密。,35.25
382,大地之书碎片,稀有,记载提瓦特大陆地理的古老书籍碎片。,32.15
383,海洋之谱章节,稀有,描述海洋奥秘的乐谱章节，演奏可影响水流。,29.85
384,火焰之诗篇章,稀有,歌颂火焰的诗歌篇章，吟唱可增强火元素力量。,28.65
385,雷电之律音符,稀有,雷电旋律的音符，组合后可召唤雷电。,30.25
386,冰雪之谣段落,稀有,冰雪传说的段落，讲述古老冰霜故事。,27.95
387,狂风之曲小节,稀有,狂风的旋律小节，能够扰动大气流动。,29.05
388,岩峦之章片段,稀有,山脉岩石的篇章片段，蕴含大地记忆。,31.75
389,草木之语词句,稀有,植物交流的语言词句，能够与植物沟通。,28.25
390,星银矿石,稀有,含有星光的银色矿石，用于锻造高级武器。,26.45
391,水晶块核心,稀有,水晶矿的核心部分，元素能量更加纯净集中。,27.35
392,魔晶块精华,稀有,魔晶矿提炼的精华，魔力浓度极高。,29.75
393,夜泊石之心,稀有,夜泊石的核心，发光更明亮持久。,25.85
394,石珀精华,稀有,石珀提炼的精华，岩元素力量更易吸收。,26.95
395,武器原胚,稀有,未成形的武器胚胎，可以打造各种武器。,24.75
396,北陆原胚,稀有,北方大陆特有的武器原胚，适合打造寒冷地区武器。,25.45
397,中陆原胚,稀有,中部大陆常见的武器原胚，适应性广泛。,23.95
398,南陆原胚,稀有,南方大陆特有的武器原胚，适合打造炎热地区武器。,24.65
399,东陆原胚,稀有,东方大陆特有的武器原胚，工艺精湛。,26.25
400,西陆原胚,稀有,西方大陆特有的武器原胚，设计独特。,25.15
401,冠冕原胚,稀有,头冠类装备的原胚，可以打造各种头饰。,22.95
402,杯盏原胚,稀有,杯具类装备的原胚，可以打造圣遗物空之杯。,23.75
403,时计原胚,稀有,时计类装备的原胚，可以打造圣遗物时之沙。,24.45
404,鸟羽原胚,稀有,羽毛类装备的原胚，可以打造圣遗物死之羽。,22.65
405,花卉原胚,稀有,花朵类装备的原胚，可以打造圣遗物生之花。,23.25
406,冒险家金杯,稀有,冒险家梦寐以求的金杯，象征最高荣誉。,28.95
407,英雄经验手札,稀有,英雄人物亲笔撰写的经验手札，内容深刻实用。,26.45
408,传说经验卷轴,稀有,记载传奇人物经验的卷轴，阅读可获得巨大提升。,29.75
409,精锻用魔矿精华,稀有,精锻用魔矿的精华提取物，强化效果极佳。,27.85
410,浓缩树脂精华,稀有,浓缩树脂进一步提炼的精华，恢复大量体力。,26.15
411,相遇之缘,稀有,连接命运的丝线，可用于祈愿获得伙伴。,32.45
412,纠缠之缘,稀有,纠缠命运的丝线，可用于祈愿获得特定物品。,33.75
413,原石,稀有,蕴含祈愿之力的结晶，提瓦特大陆最珍贵的货币之一。,35.95
414,洞天宝钱袋,稀有,装着大量洞天宝钱的钱袋，可在尘歌壶洞天使用。,25.25
415,洞天宝鉴全本,稀有,尘歌壶洞天管理的完整指南，包含所有建设技巧。,27.35
416,摆设大师图纸,稀有,大师级摆设家具的设计图纸，制作难度高但成品精美。,26.75
417,仙速瓶大号,稀有,大瓶装的仙速瓶，能够大幅加速摆设制作。,24.95
418,祝圣油膏精粹,稀有,祝圣油膏的精粹提取物，圣遗物强化效果显著。,25.85
419,祝圣精华浓缩,稀有,祝圣精华的浓缩版，少量即可大幅强化圣遗物。,27.15
420,寻宝鸦印大全,稀有,盗宝团所有鸦印的图鉴大全，有助于寻找所有宝藏。,28.25
421,藏银鸦印地图,稀有,藏银鸦印对应的藏宝地图，指引珍贵宝藏位置。,29.45
422,攫金鸦印密卷,稀有,攫金鸦印对应的秘密卷轴，记载重要宝藏信息。,31.75
423,寻宝罗盘精制,稀有,精制版寻宝罗盘，寻找宝箱更加精准快速。,26.55
424,口袋锚点改良,稀有,改良版口袋锚点，设置更快持续时间更长。,27.95
425,便携营养袋升级,稀有,升级版营养袋，容量更大保鲜更好。,25.25
426,捕风瓶精制,稀有,精制版捕风瓶，收集风种子效率更高。,26.15
427,忍冬之果精华,稀有,忍冬之果提炼的精华，冰元素力量更纯净。,27.45
428,放热瓶强化,稀有,强化版放热瓶，释放热量更多持续时间更长。,25.75
429,叁零式豪华营养餐,稀有,豪华版营养餐，口感好且恢复效果更强。,24.45
430,红羽团扇珍藏版,稀有,珍藏版红羽团扇，工艺更加精美风力更强。,26.85
431,红羽饰品套装,稀有,全套红羽饰品，佩戴后魅力大幅提升。,28.95
432,红羽圣物真品,稀有,真正的红羽圣物，蕴含强大的神圣力量。,32.25
433,红羽遗迹钥匙,稀有,打开红羽遗迹大门的钥匙，可能发现古代宝藏。,29.75
434,红羽琥珀完整,稀有,完整保存古代鸟类遗骸的琥珀，科研价值极高。,31.45
435,红羽标本大师作,稀有,标本大师制作的羽毛标本，栩栩如生。,27.85
436,红羽名画,稀有,著名画家绘制的羽毛主题名画，艺术价值高。,29.25
437,红羽雕塑大师作,稀有,雕塑大师的羽毛主题作品，工艺登峰造极。,30.15
438,红羽古董陶瓷,稀有,古代羽毛图案陶瓷，历史悠久保存完好。,28.45
439,红羽皇家刺绣,稀有,皇家御用刺绣师的作品，图案精美绝伦。,29.75
440,红羽宫廷织锦,稀有,宫廷专用的羽毛织锦，质地奢华图案华丽。,31.25
441,红羽王宫地毯,稀有,王宫大殿使用的羽毛地毯，面积巨大做工精细。,33.95
442,红羽城堡窗帘,稀有,城堡大厅使用的羽毛窗帘，厚重华贵。,30.45
443,红羽宫殿墙纸,稀有,宫殿房间使用的羽毛墙纸，金线绣制图案。,32.15
444,红羽皇室家具,稀有,皇室成员使用的羽毛图案家具，用料考究工艺精湛。,34.25
445,红羽御用餐具,稀有,皇帝御用的羽毛图案餐具，金边镶嵌宝石装饰。,35.75
446,红羽御用茶具,稀有,皇帝御用的羽毛图案茶具，泡茶口感更佳。,33.45
447,红羽御用酒具,稀有,皇帝御用的羽毛图案酒具，品酒体验提升。,34.15
448,红羽宫廷灯具,稀有,宫廷宴会厅使用的羽毛灯具，照明范围广光线柔和。,32.75
449,红羽宫殿钟表,稀有,宫殿大厅的羽毛大钟，准时报时音色悦耳。,33.85
450,红羽皇家镜子,稀有,皇家梳妆室的羽毛大镜子，镜面清晰边框镶金。,35.25
451,红羽皇后梳妆台,稀有,皇后专用的羽毛梳妆台，功能齐全装饰华丽。,36.45
452,红羽皇室衣柜,稀有,皇室衣帽间的羽毛衣柜，容纳大量华服。,34.95
453,红羽国王床铺,稀有,国王寝宫的羽毛大床，极其舒适奢华。,37.75
454,红羽王座,稀有,国王的羽毛图案王座，象征王权和威严。,39.95
455,红羽议会桌椅,稀有,议会大厅的羽毛图案桌椅，庄重大气。,35.25
456,红羽皇家图书馆书架,稀有,皇家图书馆的羽毛书架，容纳珍贵典籍。,36.15
457,红羽御书房书桌,稀有,皇帝书房的羽毛书桌，用于处理国家大事。,37.25
458,红羽御用文具,稀有,皇帝批阅奏章使用的羽毛文具，书写流畅字迹优美。,34.85
459,红羽皇家马车,稀有,皇室出行的羽毛装饰马车，豪华舒适。,42.95
460,红羽皇家旗帜,稀有,皇室的羽毛图案旗帜，象征国家尊严。,38.45
461,红羽皇冠,稀有,皇帝加冕时佩戴的羽毛皇冠，镶嵌宝石。,45.75
462,红羽权杖,稀有,皇帝手持的羽毛权杖，象征统治权力。,43.25
463,红羽玉玺,稀有,皇帝使用的羽毛图案玉玺，用于重要文件盖章。,46.95
464,红羽法典,稀有,国家法律典籍，封面装饰羽毛图案。,39.75
465,红羽史书,稀有,记载国家历史的史书，封面装饰羽毛图案。,38.25
466,红羽地图,稀有,国家疆域地图，边缘装饰羽毛图案。,37.45
467,红羽条约,稀有,国家间签订的条约，使用羽毛笔签署。,36.75
468,红羽勋章,稀有,国家授予的荣誉勋章，形状如羽毛。,35.95
469,红羽奖章,稀有,奖励有功之臣的奖章，装饰羽毛图案。,34.25
470,红羽纪念币,稀有,纪念重大事件的货币，印有羽毛图案。,33.75
471,红羽邮票,稀有,国家邮政发行的羽毛图案邮票，收藏价值高。,32.45
472,红羽护照,稀有,国家公民的旅行证件，封面有羽毛图案。,31.85
473,红羽身份证,稀有,国家公民的身份证明，印有羽毛图案。,30.75
474,红羽驾照,稀有,驾驶交通工具的许可证，封面有羽毛图案。,29.95
475,红羽毕业证书,稀有,学校颁发的毕业证明，装饰羽毛图案。,28.45
476,红羽结婚证书,稀有,民政部门颁发的结婚证明，装饰羽毛图案。,27.75
477,红羽房产证,稀有,房屋所有权证明，封面有羽毛图案。,36.25
478,红羽地契,稀有,土地所有权证明，装饰羽毛图案。,35.15
479,红羽遗嘱,稀有,财产分配的法律文件，使用羽毛笔书写。,33.95
480,红羽合同,稀有,商业合作的法律文件，双方用羽毛笔签署。,32.85
481,红羽发票,稀有,商品交易的凭证，印有羽毛图案。,31.25
482,红羽收据,稀有,收款证明，使用羽毛图案纸张。,30.15
483,红羽支票,稀有,银行支票，印有羽毛防伪图案。,29.45
484,红羽存折,稀有,银行存款凭证，封面有羽毛图案。,28.75
485,红羽信用卡,稀有,银行发行的信用卡，卡面印有羽毛图案。,27.95
486,红羽股票,稀有,公司股权证明，证书装饰羽毛图案。,34.25
487,红羽债券,稀有,国家或公司发行的债券，证书有羽毛图案。,33.15
488,红羽保险单,稀有,保险合同文件，封面装饰羽毛图案。,32.05
489,红羽税单,稀有,税务缴纳凭证，印有羽毛图案。,31.25
490,红羽账单,稀有,消费账单，使用羽毛图案纸张。,30.35
491,红羽请柬,稀有,邀请参加活动的请柬，装饰羽毛图案。,28.95
492,红羽贺卡,稀有,节日祝福贺卡，印有羽毛图案。,27.65
493,红羽名片,稀有,个人或公司介绍的名片，印有羽毛图案。,26.85
494,红羽信纸,稀有,写信用的纸张，边缘装饰羽毛图案。,25.95
495,红羽信封,稀有,装信的信封，印有羽毛图案。,25.25
496,红羽邮戳,稀有,邮政盖戳，图案为羽毛形状。,24.75
497,红羽快递单,稀有,快递运输单据，印有羽毛图案。,23.95
498,红羽物流标签,稀有,货物运输标签，有羽毛防伪标识。,23.25
499,红羽包装盒,稀有,商品包装盒，装饰羽毛图案。,22.75
500,红羽礼品袋,稀有,礼品包装袋，印有羽毛图案。,21.95
501,迪卢克,史诗,蒙德城酒业大亨，晨曦酒庄的主人，前西风骑士团骑兵队长，使用大剑作战，拥有强大的火元素力量。,85.75
502,琴,史诗,西风骑士团代理团长，蒲公英骑士，使用单手剑作战，风元素使用者，以严谨负责的态度守护蒙德城。,78.95
503,温迪,史诗,蒙德城的吟游诗人，真实身份是风神巴巴托斯，使用弓箭作战，能够操控强大的风元素力量，热爱自由和美酒。,92.45
504,可莉,史诗,西风骑士团火花骑士，艾莉丝的女儿，使用法器作战，火元素天才爆破专家，活泼可爱但破坏力惊人。,88.25
505,七七,史诗,不卜庐的采药姑娘，僵尸少女，使用单手剑作战，冰元素使用者，记忆力差但医术高超。,76.85
506,莫娜,史诗,神秘高傲的占星术士，使用法器作战，水元素使用者，占星术精准但经济拮据。,79.45
507,阿贝多,史诗,西风骑士团首席炼金术士，使用单手剑作战，岩元素使用者，天才科学家，研究生命创造之谜。,84.75
508,优菈,史诗,西风骑士团游击小队队长，劳伦斯家族后裔，使用大剑作战，冰元素使用者，剑术精湛但背负家族原罪。,82.95
509,安柏,史诗,西风骑士团侦察骑士，蒙德城的飞行冠军，使用弓箭作战，火元素使用者，开朗活泼的红色侦察骑士。,65.45
510,凯亚,史诗,西风骑士团骑兵队长，使用单手剑作战，冰元素使用者，性格圆滑，深藏不露。,68.75
511,丽莎,史诗,西风骑士团图书管理员，使用法器作战，雷元素使用者，慵懒但知识渊博的魔女。,67.85
512,芭芭拉,史诗,西风教会的祈礼牧师，使用法器作战，水元素使用者，蒙德城的偶像，擅长治疗。,64.95
513,雷泽,史诗,生活在奔狼领的狼少年，使用大剑作战，雷元素使用者，被狼群抚养长大，直觉敏锐。,69.25
514,诺艾尔,史诗,西风骑士团女仆，使用大剑作战，岩元素使用者，梦想成为正式骑士，力量惊人。,66.45
515,菲谢尔,史诗,自称断罪之皇女，使用弓箭作战，雷元素使用者，中二病少女，与夜鸦奥兹共同冒险。,71.75
516,班尼特,史诗,冒险家协会成员，使用单手剑作战，火元素使用者，运气极差但乐观向上的少年。,63.25
517,砂糖,史诗,西风骑士团炼金术士，阿贝多的助手，使用法器作战，风元素使用者，害羞的生物炼金天才。,67.45
518,迪奥娜,史诗,猫尾酒馆的调酒师，使用弓箭作战，冰元素使用者，凯茨莱茵家族后裔，讨厌酒但调酒技术一流。,65.75
519,罗莎莉亚,史诗,西风教会的修女，使用长柄武器作战，冰元素使用者，夜晚行动的冷酷修女，身份神秘。,70.25
520,辛焱,史诗,璃月港的摇滚歌手，使用双手剑作战，火元素使用者，用音乐表达反抗精神的摇滚乐手。,68.95
521,魈,史诗,守护璃月的夜叉仙人，使用长柄武器作战，风元素使用者，千年除魔，背负业障。,95.75
522,刻晴,史诗,璃月七星中的玉衡星，使用单手剑作战，雷元素使用者，工作认真，不依赖神明的革新者。,87.45
523,香菱,史诗,万民堂厨师，使用长柄武器作战，火元素使用者，对料理充满热情，锅巴的主人。,72.85
524,凝光,史诗,璃月七星中的天权星，使用法器作战，岩元素使用者，富可敌国的商人，掌控璃月港经济命脉。,89.95
525,行秋,史诗,飞云商会二少爷，使用单手剑作战，水元素使用者，热爱文学的侠客少年。,74.25
526,北斗,史诗,南十字船队船长，使用大剑作战，雷元素使用者，豪爽的女船长，曾斩杀海山。,76.45
527,重云,史诗,驱邪世家继承人，使用双手剑作战，冰元素使用者，纯阳之体，寻找邪灵却总被吓跑。,73.75
528,甘雨,史诗,月海亭秘书，麒麟血脉半仙，使用弓箭作战，冰元素使用者，辅助璃月七星千年。,91.25
529,胡桃,史诗,往生堂堂主，使用长柄武器作战，火元素使用者，古灵精怪的葬礼负责人，热爱推销业务。,86.75
530,钟离,史诗,往生堂客卿，真实身份是岩神摩拉克斯，使用长柄武器作战，岩元素使用者，知识渊博，讲究生活品质。,98.95
531,烟绯,史诗,璃月港知名律法咨询师，使用法器作战，火元素使用者，半仙血脉，精通璃月法律。,75.45
532,申鹤,史诗,留云借风真君弟子，使用长柄武器作战，冰元素使用者，气质出尘的驱邪世家旁系。,84.25
533,云堇,史诗,云翰社当家，使用长柄武器作战，岩元素使用者，璃月戏曲名角，致力于传统艺术创新。,78.15
534,夜兰,史诗,璃月情报官，使用弓箭作战，水元素使用者，身份神秘的博弈者，掌控璃月地下情报网。,88.45
535,久岐忍,史诗,荒泷派副手，使用单手剑作战，雷元素使用者，从教令院退学的巫女，全能型人才。,72.35
536,神里绫华,史诗,社奉行神里家大小姐，使用单手剑作战，冰元素使用者，白鹭公主，剑术与礼仪皆完美。,90.75
537,神里绫人,史诗,社奉行神里家家主，使用单手剑作战，水元素使用者，稻妻政坛的优雅谋士。,92.25
538,宵宫,史诗,长野原烟花店店主，使用弓箭作战，火元素使用者，夏祭的女王，制作最绚烂的烟花。,79.95
539,早柚,史诗,终末番忍者，使用双手剑作战，风元素使用者，想要长高的狸猫忍者，擅长逃跑和睡觉。,71.45
540,雷电将军,史诗,稻妻幕府将军，真实身份是雷神巴尔泽布，使用长柄武器作战，雷元素使用者，追求永恒的神明。,99.95
541,八重神子,史诗,鸣神大社宫司，使用法器作战，雷元素使用者，优雅狡猾的狐狸巫女，掌管神社和出版社。,94.75
542,枫原万叶,史诗,浪人武士，使用单手剑作战，风元素使用者，逃离稻妻的浪人，能听见自然万物的声音。,86.45
543,托马,史诗,社奉行家政官，使用长柄武器作战，火元素使用者，神里家的全能管家，蒙德与稻妻的混血。,74.85
544,五郎,史诗,海祇岛大将，使用弓箭作战，岩元素使用者，反抗军的领袖，有着狗狗般的忠诚和直觉。,76.95
545,珊瑚宫心海,史诗,海祇岛现人神巫女，使用法器作战，水元素使用者，反抗军军师，擅长谋略和治愈。,88.95
546,九条裟罗,史诗,天领奉行大将，使用弓箭作战，雷元素使用者，忠于雷电将军的武将，严谨公正。,82.45
547,荒泷一斗,史诗,荒泷派老大，使用双手剑作战，岩元素使用者，爽朗热血的鬼族青年，喜欢比赛和孩子们玩耍。,85.25
548,鹿野院平藏,史诗,天领奉行侦探，使用法器作战，风元素使用者，天才少年侦探，通过直觉和推理解决案件。,79.25
549,提纳里,史诗,化城郭巡林官，使用弓箭作战，草元素使用者，学识渊博的植物学家，耳朵敏感。,83.75
550,柯莱,史诗,化城郭巡林员，使用弓箭作战，草元素使用者，从愚人众实验中逃出的少女，安柏的朋友。,77.45
551,多莉,史诗,桑歌马哈巴依老爷，使用双手剑作战，雷元素使用者，须弥的大商人，贩卖各种稀有商品。,80.95
552,赛诺,史诗,大风纪官，使用长柄武器作战，雷元素使用者，须弥教令院的执法者，严肃认真，喜欢冷笑话。,87.15
553,妮露,史诗,祖拜尔剧场舞者，使用单手剑作战，水元素使用者，专注于舞蹈艺术的舞者，表演优美动人。,82.25
554,纳西妲,史诗,须弥的草神，智慧之神布耶尔，使用法器作战，草元素使用者，被教令院囚禁的年轻神明。,96.45
555,莱依拉,史诗,教令院学生，使用单手剑作战，冰元素使用者，总是睡眠不足的天才少女，梦游时效率更高。,75.85
556,珐露珊,史诗,教令院学者，使用弓箭作战，风元素使用者，百年前的天才机关术学者，被困遗迹后获救。,84.95
557,流浪者,史诗,前愚人众执行官散兵，使用法器作战，风元素使用者，失去记忆重新开始的人偶少年。,93.25
558,艾尔海森,史诗,教令院书记官，使用单手剑作战，草元素使用者，理性至上的天才学者，追求平静生活。,89.45
559,迪希雅,史诗,镀金旅团雇佣兵，使用双手剑作战，火元素使用者，豪爽可靠的女战士，经营着慈善组织。,83.15
560,坎蒂丝,史诗,阿如村守护者，使用长柄武器作战，水元素使用者，拥有异色瞳的守护者，血统特殊。,78.75
561,瑶瑶,史诗,香菱的师妹，使用长柄武器作战，草元素使用者，活泼可爱的小女孩，总是带着月桂。,73.25
562,白术,史诗,不卜庐大夫，使用法器作战，草元素使用者，医术高超的大夫，身边常伴长生蛇。,81.45
563,林尼,史诗,枫丹著名魔术师，使用弓箭作战，火元素使用者，魔术手法精湛，与妹妹琳妮特搭档表演。,85.95
564,琳妮特,史诗,魔术师助手，使用单手剑作战，风元素使用者，林尼的妹妹，表情淡漠但行动敏捷。,80.25
565,菲米尼,史诗,潜水员，使用双手剑作战，冰元素使用者，沉默内向的潜水少年，擅长水下作业。,76.35
566,那维莱特,史诗,枫丹最高审判官，使用法器作战，水元素使用者，公正严明的审判官，身份神秘。,94.25
567,莱欧斯利,史诗,梅洛彼得堡公爵，使用拳套作战，冰元素使用者，管理水下监狱的公爵，有着自己的正义观。,88.75
568,芙宁娜,史诗,枫丹水神，使用单手剑作战，水元素使用者，热爱戏剧与表演的神明，性格张扬。,95.85
569,夏洛蒂,史诗,蒸汽鸟报记者，使用法器作战，冰元素使用者，充满好奇心的记者，追求独家新闻。,79.45
570,娜维娅,史诗,刺玫会会长，使用双手剑作战，岩元素使用者，热情豪爽的会长，经营着枫丹的民间组织。,84.15
571,闲云,史诗,留云借风真君，使用法器作战，风元素使用者，化为人形的仙人，擅长机关术，性格有些唠叨。,87.95
572,千织,史诗,著名服装设计师，使用单手剑作战，岩元素使用者，枫丹时尚界领袖，设计风格独特。,82.95
573,嘉明,史诗,舞兽队成员，使用双手剑作战，火元素使用者，活泼的舞兽少年，与瑞兽搭档表演。,78.45
574,派蒙,史诗,旅行者的向导和伙伴，使用无武器作战，无元素属性，贪吃的小精灵，知识渊博但记性不好。,90.25
575,空,史诗,旅行者（哥哥），使用单手剑作战，可切换元素属性，寻找血亲的异世界旅行者。,96.75
576,荧,史诗,旅行者（妹妹），使用单手剑作战，可切换元素属性，寻找血亲的异世界旅行者。,96.75
577,若陀龙王,史诗,被岩神摩拉克斯镇压的古老岩元素巨龙，拥有撼动大地的力量。,95.45
578,特瓦林,史诗,蒙德的四风守护之一，风魔龙，曾被深渊腐蚀后被旅行者解救。,93.85
579,安德留斯,史诗,北风狼王，蒙德过去的北风守护，灵魂留存于奔狼领。,91.25
580,奥赛尔,史诗,被岩神镇压在孤云阁的漩涡之魔神，拥有操控海洋的力量。,94.95
581,跋掣,史诗,奥赛尔的妻子，追随丈夫的漩涡余威。,86.75
582,若陀龙王碎片,史诗,若陀龙王被击败后留下的碎片，蕴含强大岩元素。,89.25
583,雷电将军人偶完全体,史诗,雷电将军制造的完美人偶，拥有接近神明的战斗力。,97.45
584,散兵人偶完全体,史诗,执行官散兵的完整人偶身体，蕴含强大的雷元素力量。,95.75
585,博士切片,史诗,执行官博士制造的意识切片，每个都有独立人格和知识。,92.25
586,女士化身,史诗,执行官女士的冰火融合形态，同时掌握两种对立元素。,93.85
587,公子魔王武装,史诗,执行官公子解放邪眼力量后的形态，攻击性极强。,94.45
588,富人金库守卫,史诗,守卫富人金库的自动机械，装备最先进的武器和防御系统。,88.95
589,仆人情报主管,史诗,仆人情报网络的核心管理者，掌握所有机密信息。,87.25
590,木偶巨型傀儡,史诗,执行官木偶操纵的巨型战斗傀儡，破坏力惊人。,91.75
591,队长精英部队,史诗,执行官队长指挥的精英特种部队，战术配合完美。,89.45
592,丑角剧团主演,史诗,丑角剧团的主要演员，表演中蕴含致命杀机。,86.85
593,孔雀王,史诗,传说中的神鸟孔雀王，羽毛美丽蕴含强大魔力。,92.95
594,赤团扇仙,史诗,修炼成仙的红色团扇，能够操控火焰法则。,90.25
595,玄文真人,史诗,解读所有玄文获得大道的仙人，言出法随。,93.15
596,鸣雷尊者,史诗,掌管雷电的尊者，能够召唤九天雷劫。,94.75
597,霜寒仙子,史诗,冰雪中诞生的仙子，所在之处万物冰封。,91.85
598,焚焰魔君,史诗,火焰中诞生的魔君，能够焚烧一切。,93.45
599,涌流海神,史诗,海洋的化身，能够操控所有水流。,92.25
600,狂岚风神,史诗,狂风的化身，能够制造毁灭性风暴。,94.15
601,坚岩地神,史诗,大地的化身，能够操纵山脉和岩石。,93.75
602,滋长生命之神,史诗,生命的化身，能够促进万物生长。,91.25
603,海祇大御神,史诗,海祇岛的守护神，海洋的古老神明。,95.45
604,鸣神,史诗,稻妻的雷电将军真身，追求永恒的神明。,99.25
605,岩王帝君,史诗,璃月的岩神摩拉克斯，契约之神。,98.95
606,风神巴巴托斯,史诗,蒙德的风神，自由之神。,97.75
607,草神布耶尔,史诗,须弥的草神，智慧之神。,96.45
608,水神芙卡洛斯,史诗,枫丹的水神，正义之神。,95.85
609,火神,史诗,纳塔的火神，战争之神。,94.25
610,冰神,史诗,至冬国的冰神，怜爱之神。,93.95
611,天空岛使者,史诗,天空岛派往下界的使者，拥有部分天理权能。,96.75
612,深渊王子,史诗,深渊教团的王子，旅行者的血亲。,98.25
613,深渊公主,史诗,深渊教团的公主，旅行者的血亲。,98.25
614,坎瑞亚遗民,史诗,覆灭古国坎瑞亚的幸存者，掌握古代科技。,92.45
615,古代炼金术大师,史诗,掌握失传炼金术的大师，能够创造生命。,91.85
616,古代机关术大师,史诗,掌握古代机关术的大师，制造自动化机械。,90.75
617,古代符文大师,史诗,掌握古代符文的大师，能够将符文化为实际力量。,89.95
618,古代召唤大师,史诗,掌握古代召唤术的大师，能够召唤异界生物。,88.45
619,古代附魔大师,史诗,掌握古代附魔技术的大师，能够赋予物品强大能力。,87.75
620,古代锻造大师,史诗,掌握古代锻造技术的大师，能够打造神器。,90.25
621,古代裁缝大师,史诗,掌握古代裁缝技术的大师，能够制作魔法服装。,86.95
622,古代厨师大师,史诗,掌握古代烹饪技术的大师，能够制作神奇料理。,85.45
623,古代药师大师,史诗,掌握古代药学的大师，能够制作万能药剂。,87.25
624,古代建筑师大师,史诗,掌握古代建筑学的大师，能够建造奇迹建筑。,88.75
625,古代艺术家大师,史诗,掌握古代艺术的大师，作品蕴含魔力。,86.25
626,古代音乐家大师,史诗,掌握古代音乐的大师，演奏能够影响现实。,85.75
